position_panda_joint1,position_panda_joint2,position_panda_joint3,position_panda_joint4,position_panda_joint5,position_panda_joint6,position_panda_joint7,position_panda_finger,velocity_panda_joint1,velocity_panda_joint2,velocity_panda_joint3,velocity_panda_joint4,velocity_panda_joint5,velocity_panda_joint6,velocity_panda_joint7,ee_state_position_x,ee_state_position_y,ee_state_position_z,ee_state_orientation_x,ee_state_orientation_y,ee_state_orientation_z,ee_state_orientation_w
-0.0864112824202,-0.13434061408,-0.401680260897,-2.07845163345,0.1963660568,2.38036561012,-1.10216772556,0.0431075394154,0.0620116814971,-0.101353503764,0.0943832695484,0.128104761243,-0.283525109291,-0.717403113842,0.0740878507495,0.537366005641,-0.269453782216,0.428642228641,0.0740491005098,0.942817301377,0.237043343589,0.222312212631
-0.0838986039162,-0.13708306849,-0.397757768631,-2.07434535027,0.189118787646,2.35645890236,-1.09830892086,0.0431075394154,0.0974524095654,-0.079927444458,0.160556897521,0.145482465625,-0.223733127117,-0.817059278488,0.158170178533,0.536363495022,-0.264152791392,0.428526024286,0.0684027400561,0.943488253963,0.242186879445,0.215630459115
-0.0819957926869,-0.138609930873,-0.394332945347,-2.07170271873,0.185180321336,2.34113192558,-1.09479296207,0.0431075394154,0.1163674891,-0.0935861542821,0.206368803978,0.150050297379,-0.220986649394,-0.884869933128,0.237618491054,0.536012451457,-0.260084777733,0.428391004022,0.0644177803026,0.943906868575,0.245333838892,0.21142724569
-0.0799468010664,-0.139994814992,-0.390882849693,-2.06939578056,0.181669533253,2.32667732239,-1.09064340591,0.0431075394154,0.135128676891,-0.0807693079114,0.232908159494,0.147842258215,-0.197480157018,-0.919978678226,0.277025163174,0.535720373427,-0.255974929391,0.428157635472,0.0604583637059,0.944350256023,0.248051504345,0.207407403648
-0.0772595405579,-0.141266897321,-0.386135905981,-2.06656646729,0.178329139948,2.30988240242,-1.08523464203,0.0431075394154,0.160408556461,-0.0704747438431,0.294493436813,0.167192667723,-0.173513010144,-0.943265497684,0.320789933205,0.535660300755,-0.250620562892,0.427840680035,0.0555748639883,0.944816677625,0.251206531394,0.202800785123
-0.0738253816962,-0.142860755324,-0.379770457745,-2.0631301403,0.175192296505,2.29059410095,-1.0781853199,0.0431075394154,0.176454171538,-0.0813933238387,0.336808532476,0.170414581895,-0.137010291219,-0.983581244946,0.374403744936,0.535842424325,-0.243780770779,0.427723551222,0.0497791855555,0.945241531165,0.254811751838,0.197766152969
-0.0683330520988,-0.144910007715,-0.368996649981,-2.057970047,0.171633765101,2.26257991791,-1.06668305397,0.0431075394154,0.215450331569,-0.0597325116396,0.429646164179,0.196496427059,-0.125436857343,-1.02679204941,0.437940299511,0.536447213899,-0.232727849585,0.427619702071,0.0410419754522,0.945711922344,0.260107893837,0.190495142822
-0.0643353760242,-0.146138817072,-0.361220389605,-2.05453276634,0.169565036893,2.24497103691,-1.05880498886,0.0431075394154,0.254775732756,-0.0788397938013,0.48193487525,0.201731204987,-0.104993291199,-1.04244983196,0.492800414562,0.537062434123,-0.224978219696,0.427691390443,0.0355436498543,0.945829702937,0.263793844782,0.185891444504
-0.0597639717162,-0.14756436646,-0.352781832218,-2.05079817772,0.16797170043,2.22706007957,-1.05009126663,0.0431075394154,0.274024784565,-0.075865291059,0.505047619343,0.233062237501,-0.0826531499624,-1.06025087833,0.535058617592,0.537817263438,-0.216533152111,0.428041162837,0.0298797241504,0.945839310478,0.267550368897,0.181416649262
-0.0535818971694,-0.149164542556,-0.341403603554,-2.04563093185,0.166156455874,2.20469498634,-1.03846144676,0.0431075394154,0.311377227306,-0.0777793526649,0.571419417858,0.262264966965,-0.0876454561949,-1.07366871834,0.568115830421,0.538920597187,-0.205341626151,0.428709917442,0.0229243474275,0.945696031322,0.272441318325,0.175810177165
-0.0439583212137,-0.151743337512,-0.323553144932,-2.03788113594,0.163475602865,2.1734790802,-1.02089166641,0.0431075394154,0.350785762072,-0.0866750180721,0.659178495407,0.275100558996,-0.0814263150096,-1.07533299923,0.634495735168,0.540606764072,-0.188231185008,0.430221307897,0.0136035751055,0.945090129515,0.280021092228,0.167951711611
-0.0385867655277,-0.152988106012,-0.313614189625,-2.0337831974,0.162644058466,2.15778684616,-1.01109039783,0.0431075394154,0.37518966198,-0.0831212326884,0.686332941055,0.288160264492,-0.0399415381253,-1.06752574444,0.683260142803,0.541466558031,-0.179629569886,0.431037647007,0.00923585653176,0.944704655972,0.283605069561,0.164365373924
-0.0309450738132,-0.154564991593,-0.299837917089,-2.02820730209,0.16181011498,2.13757205009,-0.997373819351,0.0431075394154,0.405652165413,-0.096895955503,0.730141937733,0.282633632421,-0.0455893315375,-1.03929316998,0.734538555145,0.54283947672,-0.165730991405,0.43246459092,0.00267885024693,0.943971494622,0.289216274079,0.158948380297
-0.0234970673919,-0.156478568912,-0.286312282085,-2.0229985714,0.160773396492,2.11927199364,-0.983794152737,0.0431075394154,0.420666724443,-0.104666858912,0.762395262718,0.302668392658,-0.0593674406409,-0.996644496918,0.778408646584,0.543912822061,-0.153104217485,0.434064257775,-0.00260682413495,0.943181677977,0.294232783173,0.154365137871
-0.00188982638065,-0.161113023758,-0.246639892459,-2.00839281082,0.157642200589,2.07420897484,-0.943617463112,0.0431075394154,0.460918486118,-0.105280540884,0.861704528332,0.297529667616,-0.0744654014707,-0.871636927128,0.886042237282,0.546654748006,-0.117034616108,0.439041847624,-0.0147869852507,0.940516864995,0.307997369765,0.14264288146
0.00560419121757,-0.16258263588,-0.232831016183,-2.00365209579,0.156500667334,2.06089448929,-0.929094970226,0.0431075394154,0.477346152067,-0.0811946615577,0.880706012249,0.293495357037,-0.0654337033629,-0.800203740597,0.924215972424,0.547370398192,-0.104704683534,0.440820869955,-0.0181517671861,0.939565450488,0.312339248409,0.139037661036
0.014817815274,-0.164108842611,-0.215809136629,-1.99828243256,0.155238032341,2.04653668404,-0.911271631718,0.0431088544428,0.48111513257,-0.0876933261752,0.905075192451,0.282251209021,-0.0822614207864,-0.712716698647,0.949117541313,0.548159712858,-0.0896410928996,0.442868416421,-0.0217461872712,0.938336928811,0.317531937894,0.134997701732
