marker1_position_x,marker1_position_y,marker1_position_z,marker1_quaternion_x,marker1_quaternion_y,marker1_quaternion_z,marker1_quaternion_w,marker2_position_x,marker2_position_y,marker2_position_z,marker2_quaternion_x,marker2_quaternion_y,marker2_quaternion_z,marker2_quaternion_w
0.0170344524086,0.00228515150957,0.195116579533,0.681473069046,0.668964265288,0.235759638412,-0.180273849542,0.0100586060435,-0.0696017593145,0.268109619617,0.631708816677,0.605667868727,-0.344933233366,0.339310283139
0.0169911719859,0.00227529811673,0.195093631744,0.681100167029,0.669331863238,0.236646705153,-0.179152885176,0.0100409965962,-0.0696283504367,0.268178015947,0.631127317623,0.606061384102,-0.3457788188,0.338828741578
0.0169505570084,0.00225051841699,0.195185273886,0.680989918153,0.669561550997,0.237203244702,-0.177973822522,0.00995042175055,-0.069550730288,0.267807155848,0.630737355907,0.606083883628,-0.345894875919,0.339395711055
0.0168914310634,0.00220594950952,0.195078805089,0.680823274119,0.669499258562,0.237420992504,-0.178554430137,0.00991197302938,-0.0694191455841,0.267223596573,0.629496655933,0.606947683797,-0.347678606687,0.338331281075
0.0167971048504,0.00215184409171,0.195061817765,0.681377600291,0.669062493023,0.236575604944,-0.179198017279,0.00991024076939,-0.0694361701608,0.267218858004,0.6295884346,0.606734176675,-0.347344398191,0.338886280215
0.0168126318604,0.00215933588333,0.194979086518,0.681404746798,0.668798745158,0.236137457821,-0.180651350757,0.00990441069007,-0.0695285126567,0.267566531897,0.629471550893,0.606935644045,-0.347114260103,0.338978437422
0.0169119779021,0.00222062203102,0.195128932595,0.681298287151,0.669263308126,0.237069024163,-0.178094205697,0.00992640852928,-0.0694502070546,0.267361611128,0.62996693722,0.606806518793,-0.347059571641,0.338344736168
0.017000798136,0.00229018251412,0.195348903537,0.681362255389,0.669721858561,0.234984871985,-0.17888605042,0.00998969003558,-0.0695516690612,0.267850458622,0.630936388198,0.606192152365,-0.346047977691,0.338675575729
0.017017647624,0.00230171508156,0.195192307234,0.68175607441,0.668904642005,0.23521808826,-0.180132412035,0.010055013001,-0.0696436092257,0.268267214298,0.631731249606,0.605673394063,-0.344803814713,0.339390184527
0.0170416608453,0.00229763542302,0.195555269718,0.682050916975,0.669104865414,0.233694052734,-0.180256249405,0.0100333988667,-0.0696574226022,0.26829341054,0.632034980141,0.605344068707,-0.344748205697,0.339468727615
0.0169739685953,0.00227100867778,0.195082962513,0.680799564707,0.669393507959,0.237110396067,-0.179451788158,0.00999018643051,-0.0695457085967,0.267817825079,0.63069215151,0.606212438792,-0.345989108117,0.339153985885
0.0167525149882,0.00217204261571,0.194872975349,0.680593900347,0.669327728698,0.238664050015,-0.178414701291,0.00990439578891,-0.0695243626833,0.267586290836,0.629546198015,0.606926994873,-0.347395124301,0.338567327237
0.0161571577191,0.00211953208782,0.196573615074,0.680624166143,0.671708075962,0.236575225079,-0.172020836027,0.00979685317725,-0.0702787041664,0.270301520824,0.629522131027,0.607477351402,-0.346109937494,0.33894109407
0.0147876720876,0.0020014103502,0.195597648621,0.678886513959,0.67300827316,0.235313229716,-0.175501137725,0.00901630520821,-0.070168338716,0.269615232944,0.62686634791,0.609095759863,-0.349125109756,0.337864758317
0.0139369843528,0.00174632971175,0.195134446025,0.677969526552,0.673688155707,0.231809173784,-0.181014079222,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0141477901489,0.000218975663302,0.193956673145,0.681147660001,0.671996832875,0.226451107011,-0.182148340685,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0148269413039,9.12538453122e-05,0.194064348936,0.681165280684,0.672880018666,0.228500123348,-0.176164793593,0.00897487252951,-0.071454256773,0.2697455585,0.620950127946,0.610414096782,-0.353813796856,0.341513347042
0.0152733325958,0.000432487693615,0.193365931511,0.680013432042,0.671722943327,0.236309807791,-0.174721762788,0.00907116103917,-0.0706176534295,0.267224997282,0.624033169904,0.607864127384,-0.350435980639,0.343916311002
0.0151009885594,0.00184609158896,0.194576844573,0.679919807478,0.670555855693,0.230450589037,-0.186966376141,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0151248704642,0.00244843331166,0.194751024246,0.68000843242,0.66997441924,0.232648356695,-0.186004170729,0.00903840828687,-0.0696629136801,0.268518477678,0.628113646972,0.610465327834,-0.345304856802,0.337001314345
0.0154558196664,0.00273868441582,0.194975152612,0.678567027981,0.671201839488,0.238513833977,-0.179293140433,0.009072705172,-0.0689727962017,0.266922444105,0.627389272102,0.609859830126,-0.345541486517,0.339197243423
0.0154740661383,0.00262513547204,0.1951264292,0.678580875632,0.671128297735,0.237735591274,-0.180545262601,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0152235748246,0.00228807679377,0.19455139339,0.678877725974,0.670222123353,0.238621550578,-0.181623495573,0.00904700439423,-0.0695145875216,0.267878651619,0.628630906678,0.609109195784,-0.346093260378,0.337681248963
0.0152868637815,0.00131597800646,0.194081932306,0.679276272842,0.671471219952,0.236908987364,-0.177719660239,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.014939234592,0.00107781717088,0.19456833601,0.681205577598,0.67150779197,0.232676468426,-0.175778006056,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0133215840906,0.00113408162724,0.194402053952,0.678709222105,0.673745571439,0.232245064701,-0.177434288451,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.0126854972914,0.000966028543189,0.193851396441,0.679016028946,0.673548577425,0.232387115823,-0.176821307209,10.0,10.0,10.0,10.0,10.0,10.0,10.0
